Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
_0480_,1.1,9.460e-08,0.000e+00,1.435e-08,1.089e-07
_0481_,1.1,2.982e-07,0.000e+00,2.120e-08,3.194e-07
_0482_,1.1,9.524e-08,0.000e+00,1.435e-08,1.096e-07
_0483_,1.1,3.875e-07,0.000e+00,2.292e-08,4.104e-07
_0484_,1.1,3.951e-07,0.000e+00,2.533e-08,4.204e-07
_0485_,1.1,7.030e-08,0.000e+00,1.116e-08,8.146e-08
_0486_,1.1,2.729e-07,0.000e+00,2.120e-08,2.941e-07
_0487_,1.1,3.989e-07,0.000e+00,2.533e-08,4.242e-07
_0488_,1.1,9.433e-08,0.000e+00,1.435e-08,1.087e-07
_0489_,1.1,2.640e-07,0.000e+00,1.739e-08,2.814e-07
_0490_,1.1,9.564e-08,0.000e+00,1.435e-08,1.100e-07
_0491_,1.1,2.795e-07,0.000e+00,2.120e-08,3.007e-07
_0492_,1.1,9.883e-08,0.000e+00,1.435e-08,1.132e-07
_0493_,1.1,2.769e-07,0.000e+00,2.120e-08,2.981e-07
_0494_,1.1,4.070e-07,0.000e+00,1.581e-08,4.228e-07
_0495_,1.1,9.979e-08,0.000e+00,1.435e-08,1.141e-07
_0496_,1.1,5.032e-07,0.000e+00,2.507e-08,5.282e-07
_0497_,1.1,1.070e-07,0.000e+00,1.435e-08,1.214e-07
_0498_,1.1,4.032e-07,0.000e+00,2.533e-08,4.285e-07
_0499_,1.1,8.696e-08,0.000e+00,1.435e-08,1.013e-07
_0500_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0501_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0502_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0503_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0504_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0505_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0506_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0507_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0508_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0509_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0510_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0511_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0512_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0513_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0514_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0515_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0516_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0517_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0518_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0519_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0520_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0521_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0522_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0523_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0524_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0525_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0526_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0527_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0528_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0529_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0530_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0531_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0532_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
